MARCA,MODELO,PRECIO,IVA,FECHA_DE_EMESION,COLOR
Torrent,2009,"€10086,13","€3035,40",2014-07-12,ROJO
Forester,2003,"€37353,68","€2146,09",2014-02-12,VERDE
911,1985,"€59519,64","€2420,39",2013-08-04,BLANCO
A3,2007,"€25003,89","€3393,66",2014-11-05,GRIS
Impreza,2009,"€88289,14","€2582,11",2010-08-20,BLANCO
Jetta,1997,"€12032,84","€3268,61",2016-08-01,NEGRO
Lucerne,2010,"€25599,21","€1670,00",2015-05-22,GRIS
TT,2003,"€31790,67","€2330,29",2018-05-05,NEGRO
Escort,2004,"€62515,97","€2008,36",2019-12-27,ROJO
MKZ,2012,"€20874,78","€1966,17",2014-09-23,BLANCO
9-3,2005,"€69782,06","€2085,96",2019-06-17,ROJO
Yukon XL 1500,2011,"€84442,11","€2248,81",2011-07-16,GRIS
Tracker,2003,"€69066,09","€2775,78",2015-11-30,BLANCO
Amigo,1994,"€65241,64","€1696,72",2015-07-31,BLANCO
Avalanche 1500,2004,"€42287,93","€2099,74",2010-07-01,BLANCO
Maxima,2003,"€37057,48","€2861,84",2018-01-24,BLANCO
Suburban 2500,2006,"€61943,45","€1620,12",2014-05-03,NEGRO
G-Series G30,1996,"€12494,79","€2888,50",2016-11-24,GRIS
Sonoma,1992,"€33797,86","€2679,68",2017-03-27,NEGRO
Suburban,2008,"€27714,18","€2045,28",2016-04-22,NEGRO
Cooper,2005,"€23919,90","€2669,92",2015-01-14,GRIS
Fillmore,1960,"€55538,97","€1766,23",2014-04-12,ROJO
Mentor,1997,"€61730,84","€3052,94",2013-07-23,ROJO
928,1985,"€34148,94","€3182,08",2011-03-22,NEGRO
FF,2012,"€35381,18","€3482,20",2014-03-25,NEGRO
E-Series,2005,"€12877,34","€2969,25",2014-04-18,GRIS
500SEL,1993,"€7908,61","€3321,94",2020-01-18,ROJO
Envoy,2005,"€23782,61","€1624,51",2011-09-28,NEGRO
G-Series G10,1992,"€87189,66","€1677,19",2010-03-23,NEGRO
X3,2008,"€43831,63","€1593,14",2012-12-01,ROJO
Tahoe,2005,"€38545,92","€2317,65",2010-02-10,ROJO
Express 2500,2011,"€72340,99","€2558,09",2020-01-15,ROJO
F430 Spider,2006,"€19494,91","€3330,23",2019-08-31,GRIS
Dakota Club,2003,"€94311,56","€2972,46",2015-06-14,NEGRO
APV,1993,"€71132,90","€3375,49",2016-12-11,BLANCO
300M,2004,"€67908,09","€2798,76",2012-05-12,ROJO
Passat,1987,"€80437,32","€1674,94",2015-01-07,ROJO
CX-5,2013,"€32103,24","€1735,09",2010-06-03,BLANCO
Maxima,2001,"€18592,04","€2883,18",2018-02-23,VERDE
Matrix,2005,"€83944,57","€2940,87",2014-03-26,ROJO
A8,2003,"€43300,85","€1767,37",2011-10-21,BLANCO
F-Series,2011,"€74507,96","€1602,18",2010-08-21,VERDE
Compass,2010,"€85020,10","€3056,92",2010-06-01,VERDE
Sportvan G30,1996,"€96601,65","€2517,97",2018-08-04,VERDE
Cutlass Supreme,1994,"€65070,01","€3234,45",2011-12-27,NEGRO
Stealth,1992,"€98795,07","€3327,33",2015-02-21,GRIS
A4,2002,"€95456,60","€2937,49",2017-11-10,VERDE
Grand Voyager,2000,"€93245,70","€2052,09",2015-11-25,NEGRO
T100,1995,"€25560,52","€2112,19",2016-05-23,BLANCO
Coupe GT,1985,"€61650,27","€1794,63",2014-11-12,ROJO
Rapide,2011,"€8868,11","€3476,73",2012-07-21,GRIS
Outback,2008,"€36049,11","€2410,41",2016-09-12,NEGRO
Nubira,2001,"€50283,97","€3406,04",2017-04-08,VERDE
5 Series,2002,"€75208,81","€2496,07",2019-10-04,ROJO
Countach,1988,"€20138,39","€2063,17",2011-06-09,GRIS
Mustang,1999,"€69887,31","€2854,56",2016-11-28,GRIS
S2000,2009,"€49883,06","€2874,34",2015-03-17,GRIS
xB,2012,"€61125,42","€3116,64",2015-05-07,BLANCO
599 GTB Fiorano,2010,"€20547,23","€2900,07",2014-12-16,NEGRO
Monterey,2006,"€65176,38","€2647,32",2016-07-21,NEGRO
Expedition EL,2011,"€85718,86","€1589,08",2012-02-27,ROJO
Forte,2012,"€25452,84","€1872,12",2017-04-06,BLANCO
Windstar,1998,"€80590,81","€2787,87",2019-12-25,ROJO
Monte Carlo,1999,"€53491,41","€1603,43",2014-07-30,VERDE
XK Series,2005,"€60141,86","€2101,59",2012-04-08,GRIS
X-90,1996,"€58255,17","€3093,70",2015-07-08,BLANCO
200SX,1997,"€73215,43","€3479,71",2019-08-04,GRIS
Milan,2007,"€86783,14","€3248,22",2016-03-26,ROJO
Grand Marquis,2003,"€76375,95","€3306,67",2019-01-16,VERDE
Th!nk,2000,"€17215,65","€2947,16",2012-06-28,BLANCO
Mark VII,1984,"€90559,86","€3022,99",2013-09-03,BLANCO
968,1994,"€29433,45","€1733,20",2015-05-22,ROJO
XJ Series,2002,"€94241,36","€1646,07",2012-01-13,NEGRO
Freestar,2003,"€96693,39","€2064,98",2013-06-08,GRIS
F-Series,2001,"€70927,98","€2810,09",2011-11-27,ROJO
Silverado 1500,2006,"€11402,82","€3077,63",2016-10-31,ROJO
Touareg,2011,"€12634,08","€2160,09",2015-10-30,BLANCO
Park Avenue,2004,"€83948,25","€2213,95",2016-02-26,BLANCO
VehiCROSS,2000,"€79189,50","€1987,70",2012-08-09,VERDE
Golf,1986,"€20069,00","€2341,87",2011-08-11,BLANCO
Element,2003,"€91855,73","€2293,54",2010-04-05,GRIS
Legacy,1995,"€20213,80","€3262,62",2020-01-04,BLANCO
Sequoia,2011,"€91126,33","€3163,07",2017-10-17,VERDE
Ram 2500,2004,"€36715,04","€3082,88",2019-03-21,BLANCO
Charger,2009,"€41325,28","€2406,00",2015-01-30,GRIS
RX,2004,"€55450,19","€3396,08",2015-09-13,BLANCO
Express 1500,2010,"€91846,51","€3176,32",2013-10-15,GRIS
Thunderbird,1958,"€64996,51","€2875,88",2020-05-26,ROJO
RX,2012,"€89567,79","€2722,78",2014-05-08,VERDE
Avalon,2004,"€80445,54","€3308,44",2016-12-04,GRIS
Fairlane,1966,"€43709,70","€1650,21",2017-11-03,ROJO
Neon,1996,"€22363,05","€3241,01",2011-03-18,VERDE
CLK-Class,2005,"€55014,76","€1908,91",2018-10-28,NEGRO
SC,2000,"€42047,47","€2879,94",2012-01-17,NEGRO
New Beetle,2000,"€27963,01","€2014,02",2019-05-06,ROJO
TT,2000,"€77124,92","€2378,68",2015-12-03,BLANCO
Savana 1500,2000,"€16063,41","€3239,72",2010-03-13,GRIS
Paseo,1996,"€68733,17","€2034,07",2012-11-08,BLANCO
Suburban 1500,1995,"€91866,74","€2514,70",2018-10-23,NEGRO
HHR,2010,"€36332,00","€2810,58",2014-02-19,ROJO
Insight,2003,"€67731,41","€3325,49",2019-11-30,NEGRO
Silverado 3500,2003,"€28583,39","€3390,56",2018-03-06,NEGRO
Ram Van B250,1992,"€49197,49","€2696,08",2016-04-26,GRIS
Corvette,1962,"€37547,14","€1968,72",2012-12-06,NEGRO
Boxster,2005,"€12138,22","€3003,33",2015-01-22,BLANCO
T100 Xtra,1997,"€34356,78","€2356,75",2013-05-15,NEGRO
Freelander,2008,"€24286,43","€1971,00",2011-10-14,ROJO
